7/6/21 12:00 AM,"SL KB RDL","Low Intensity","4,6,10,4,6,10",24,kg,""
7/8/21 12:00 AM,"Overhead BB Press","High Intensity","1,3,2,1,2","95,105,105,115,115",lb,""
7/8/21 12:00 AM,"Farmers Carry","High Intensity","1,1,1,1",28,kg,""
7/8/21 12:00 AM,"Deadlift","Medium Intensity","3,4,7,3","255,255,245,245",lb,""
7/8/21 12:00 AM,"Zercher Sq","Low Intensity","4,6,10,4,6,10",105,lb,""
7/9/21 12:00 AM,"Deadlift","High Intensity","1,3,2,1,2","225,255,265,290,290",lb,""
7/9/21 12:00 AM,"Bulgarian Split Squat","Medium Intensity","3,4,7,3",80,lb,""
7/9/21 12:00 AM,"Kneeling Landmine Pr","Low Intensity","4,6,10,4,6,10",12.5,lb,""
7/9/21 12:00 AM,"SL KB RDL","Low Intensity","4,6,10,4,6,10",32,kg,""
7/13/21 12:00 AM,"Bulgarian Split Squat","High Intensity","1,3,1,2,3","85,95,115,125,125",lb,""
7/13/21 12:00 AM,"Pendlay Row","Medium Intensity","3,4,7,3,4,6",170,lb,""
7/13/21 12:00 AM,"Overhead BB Press","Medium Intensity","3,4,7,3,4,6",95,lb,""
7/13/21 12:00 AM,"SL KB RDL","Low Intensity","4,6,10,4,6,10,4,6,10",26,kg,""
7/14/21 12:00 AM,"Deadlift","High Intensity","4,3,3,3,3","185,225,255,275,300",lb,""
7/14/21 12:00 AM,"Overhead BB Press","High Intensity","4,3,3,3,3","70,80,95,110,120",lb,""
7/14/21 12:00 AM,"Pendlay Row","High Intensity","4,3,3,3,3","135,165,185,190,200",lb,""
7/25/2021 12:00 AM,"Bench Press","High Intensity","1,3,3,1,2","135,145,155,165,170",lb,""
7/25/2021 12:00 AM,""Rear Squat","High Intensity","1,3,3,1,2","‘155,165,175,190,200",lb,""
7/25/2021 12:00 AM,"Power Clean","Medium Intensity","3,4,7,4",95,lb,""
7/25/2021 12:00 AM,"Trap Shrug","Low Intensity","4,6,10,6",40,lb,""
7/25/2021 12:00 AM,"Front Row","Low Intensity","4,6,10,6",55,lb,""
7/25/2021 12:00 AM,"Rear Deltoid","Low Intensity","4,6,10,6",2.5,lb,""
7/26/2021 12:00 AM,"Rear Squat","High Intensity","1,3,4,1,3,4,2,4",185,lb,""
7/26/2021 12:00 AM,"Bench Press","Medium Intensity","3,4,7,2,5,7","145,145,145,145,145,135",lb,""
7/26/2021 12:00 AM,"SL KB RDL","Low Intensity","4,6,10,4,6,10,4,6",24,kg,""
7/26/2021 12:00 AM,"Hanging Leg Raise","Low Intensity","4,6,10,4,6,10,4,6",0,BW,""
