Date,Excercise,Category,Cadence,Weights,WeightUnit,Comments
"2021-07-02T10:00:00","Kneeling Landmine Pr","Low Intensity","4,7,10,4,7,10,4,7,10",10,"lb",""
"2021-07-02T10:00:00","SA Bench Row","Low Intensity","4,7,10,4,7,10,4,7,10",28,"kg",""
"2021-07-06T10:00:00","Bulgarian Split Squat","High Intensity","1,3,2,1,2","100,105,105,110,110","lb",""
"2021-07-06T10:00:00","Pendlay Row","Medium Intensity","3,4,7,6",150,"lb",""
"2021-07-06T10:00:00","Overhead BB Press","Medium Intensity","3,4,7,6","95,95,85,85","lb",""
"2021-07-06T10:00:00","SL KB RDL","Low Intensity","4,6,10,4,6,10",24,"kg",""
"2021-07-08T10:00:00","Overhead BB Press","High Intensity","1,3,2,1,2","95,105,105,115,115","lb",""
"2021-07-08T10:00:00","Farmers Carry","High Intensity","1,1,1,1",28,"kg",""
"2021-07-08T10:00:00","Deadlift","Medium Intensity","3,4,7,3","255,255,245,245","lb",""
"2021-07-08T10:00:00","Zercher Sq","Low Intensity","4,6,10,4,6,10",105,"lb",""
"2021-07-09T10:00:00","Deadlift","High Intensity","1,3,2,1,2","225,255,265,290,290","lb",""
"2021-07-09T10:00:00","Bulgarian Split Squat","Medium Intensity","3,4,7,3",80,"lb",""
"2021-07-09T10:00:00","Kneeling Landmine Pr","Low Intensity","4,6,10,4,6,10",12.5,"lb",""
"2021-07-09T10:00:00","SL KB RDL","Low Intensity","4,6,10,4,6,10",32,"kg",""
"2021-07-13T10:00:00","Bulgarian Split Squat","High Intensity","1,3,1,2,3","85,95,115,125,125","lb",""
"2021-07-13T10:00:00","Pendlay Row","Medium Intensity","3,4,7,3,4,6",170,"lb",""
"2021-07-13T10:00:00","Overhead BB Press","Medium Intensity","3,4,7,3,4,6",95,"lb",""
"2021-07-13T10:00:00","SL KB RDL","Low Intensity","4,6,10,4,6,10,4,6,10",26,"kg",""
"2021-07-14T10:00:00","Deadlift","High Intensity","4,3,3,3,3","185,225,255,275,300","lb",""
"2021-07-14T10:00:00","Overhead BB Press","High Intensity","4,3,3,3,3","70,80,95,110,120","lb",""
"2021-07-14T10:00:00","Pendlay Row","High Intensity","4,3,3,3,3","135,165,185,190,200","lb",""
"2021-07-25T10:00:00","Bench Press","High Intensity","1,3,3,1,2","135,145,155,165,170","lb",""
"2021-07-25T10:00:00","Rear Squat","High Intensity","1,3,3,1,2","‘155,165,175,190,200","lb",""
"2021-07-25T10:00:00","Power Clean","Medium Intensity","3,4,7,4",95,"lb",""
"2021-07-25T10:00:00","Trap Shrug","Low Intensity","4,6,10,6",40,"lb",""
"2021-07-25T10:00:00","Front Row","Low Intensity","4,6,10,6",55,"lb",""
"2021-07-25T10:00:00","Rear Deltoid","Low Intensity","4,6,10,6",2.5,"lb",""
"2021-07-26T10:00:00","Rear Squat","High Intensity","1,3,4,1,3,4,2,4",185,"lb",""
"2021-07-26T10:00:00","Bench Press","Medium Intensity","3,4,7,2,5,7","145,145,145,145,145,135","lb",""
"2021-07-26T10:00:00","SL KB RDL","Low Intensity","4,6,10,4,6,10,4,6",24,"kg",""
"2021-07-26T10:00:00","Hanging Leg Raise","Low Intensity","4,6,10,4,6,10,4,6",0,"BW",""
